Word,Meaning
person,사람
clothes,"천, 옷감"
life,"삶, 생명"
movie,영화
job,"일, 직업"
activity,활동
country,"국가, 시골"
example,"예, 사례"
earth,"지구, 흙"
dialogue,대화
problem,문제
letter,편지
way,"길, 방법"
fire,"불, 해고하다"
language,언어
minute,분
story,"이야기, 층"
part,"부분, 일부"
lot,"운, 운세"
plan,계획
name,이름
plant,"식물, 심다"
hand,"손, 건네다"
park,"공원, 주차하다"
place,장소
call,"부르다, 전화하다"
practice,"연습, 실천"
try,노력하다
work,"일, 작품"
need,필요로 하다
use,사용하다
keep,"지키다, 유지하다"
kind,"친절한, 종류"
listen,듣다
fun,재미
find,"찾다, 발견하다"
future,미래
learn,배우다
have,가지다
live,살다
make,만들다
mean,의미하다
let,~하게 해주다
last,지속하다
get,"얻다, 취하다"
any,어떤
take,가져가다
each,각각의
different,"다른, 다양한"
other,다른
important,중요한
another,또 다른
right,"옳은, 권리"
same,같은
sure,확실한
too,"또한, 너무"
well,"잘, 우물"
also,또한
hard,"딱딱한, 열심히"
really,정말로
bird,새
nature,"자연, 본성"
restaurant,식당
state,"상태, 진술하다"
trip,"여행, 출장"
island,섬
vacation,"휴가, 방학"
group,"무리, 무리 짓다"
space,"공간, 우주"
soldier,군인
street,거리
habit,습관
side,"측, 입장"
culture,문화
paper,종이
history,역사
newspaper,신문
information,정보
face,"얼굴, 마주하다"
advertisement,광고
mind,"마음, 꺼리다"
science,과학
change,변화하다
war,전쟁
visit,방문하다
store,"상점, 저장하다"
start,시작하다
sound,"소리, 들리다"
watch,주시하다
point,"핵심, 가리키다"
light,"빛, 가벼운"
land,착륙하다
present,"현재, 선물"
turn,"차례, 회전하다"
middle,중간의
fly,"날다, 파리"
favorite,좋아하는
begin,시작하다
enjoy,즐기다
grow,자라다
win,"이기다, 획득하다"
believe,믿다
understand,이해하다
worry,걱정하다
warm,따뜻한
save,"구하다, 저장하다"
clean,청소하다
please,만족시키다
own,"자신의, 소유하다"
easy,쉬운
interesting,흥미로운
poor,"가난한, 어설픈"
famous,유명한
such,"그러한, 그렇게"
special,특별한
just,"단지, 정당한"
fast,빠른
back,"뒤, 등"
only,"오직, 유일한"
always,항상
village,마을
neighbor,"이웃, 동네"
forest,숲
pet,애완동물
leaf,나뭇잎
bottle,병
vegetable,채소
art,"예술, 기술"
office,사무실
poem,시
machine,기계
subject,"과목, 주제"
area,"지역, 영역"
weekend,주말
piece,조각
price,왕자
grace,"은혜, 은총"
custom,관습
spring,"봄, 샘물, 튀다"
fact,사실
rock,"바위, 흔들다"
rule,"규칙, 통치하다"
line,선
break,"깨다, 휴식"
exercise,운동하다
check,확인하다
end,"끝, 목적"
stay,머물다
cook,요리하다
bring,가져오다
fall,"떨어지다, 가을"
build,"짓다, 축적하다"
front,"앞, 전면"
join,합류하다
second,"두 번째, 초"
lose,"지다, 길을 잃다"
cold,"추운, 감기"
die,죽다
happen,일어나다
half,절반의
leave,"떠나다, 방치하다"
few,거의 없는
remember,기억하다
both,둘 다
wear,"입다, 닳다"
sick,아픈
move,움직이다
